Size,Name,Type
,Angostura Bitters,bitters
,Angostura Bitters orange,bitters
,Angostura Bitters orange,bitters
,Fee Brother Rhubarb bitters,bitters
,Scrappy Lemon Bitters,bitters
,Fee Brother Black Walnut Bitters,bitters
,Angostura Bitters,bitters
,Bittermans Hopped Grapefruit Bitters,bitters
,Bittermans Xocolatl Mole Bitters,bitters
,Peychaud Bitters,bitters
,Fee Brother chocolate Aztec bitters,bitters
,Fee Brother Bitter Orange,bitters
,Fee Brother Mint Bitters,bitters
,Fee Brother Celery Bitters,bitters
,Fee Brother Cherry Bitters,bitters
,Greenbar Apple Bitters,bitters
,Scrappy's Lavender Bitters,bitters
,Scrappy's Cardamon Bitters,bitters
,El Guapo Chicory Pecan Bitters,bitters
Quart,Lime Juice (1qrt),Juice
Quart,Lemon Juice (1qrt),juice
Gallon,Orange Juice (1gal),juice
,Pineapple Juice (48oz),juice
,Cranberry Juice,juice
,Grapefruit Juice,juice
,Blood Orange Juice,juice
1 Liter,Coco Loco,batch
1 Liter,Boiron Frozen Blood Orange Puree,puree 
1 Liter,Boiron Guava Puree,puree
1 Liter,Finest Call Strawberry Puree,puree
1 Liter,Rose's Grenadine,mixer
,Filthy Olive Juice,mixer
1.75 Liter,Zing Zang Bloody Mary Mix,mixer
,Zing Zang Bloody Mary Mix,syrup
750ml,Liber Fig Syrup,syrup
750ml,Liber Raspberry Gum Syrup,syrup
1 Liter,Monin Agave,syrup
750ml,Giffard Orgeat,syrup
750ml,Seedlip 108,n/a
750ml,Kentucky 74 whiskey,n/a
750ml,Jalisco 55,n/a
750ml,Brez ,n/a
,Brez Flow,n/a
,Brez THC,n/a thc
750ml,Giffard Ginger Liqueur NA,n/a
,Crodino NA Spritz,n/a
,Dehy Orange,garnish
,Dehy Lemon,garnish
,Dehy Lime,garnish
,Olives,garnish
,Cocktail Onions,garnish
,Filthy Blue Cheese Olives,garnish
,Luxardo Cherries 3kg,garnish
,Fat Ice 2x2,ice
,Fat Ice Collins,ice
750ml,Abasolo whiskey,whiskey
1 Liter,Angel's Envy Bourbon,bourbon
750ml,Balcones Texas Single Malt,bourbon
1 Liter,Basil Hayden Bourbon,bourbon
750ml,Basil Hayden Bourbon,bourbon
750ml,Basil Hayden Dark Rye,rye
750ml,Blanton's Bourbon,bourbon
750ml,Buffalo Trace Bourbon,bourbon
1 Liter,Buffalo Trace Bourbon,bourbon
750ml,Bulleit Bourbon,bourbon
1 Liter,Bulleit Bourbon,bourbon
1 Liter,Bulleit Rye,rye
750ml,Bespoken Twice Toasted Bourbon Whiskey,whiskey
750ml,Bespoken Twice Toasted American Whiskey,whiskey
1 Liter,Crown Royal,whisky
750ml,Eagle Rare 10Y,bourbon
750ml,E.H. Taylor Barrel Proof,bourbon
750ml,E.H. Taylor Single Barrel,bourbon
1 Liter,Four Roses Bourbon,bourbon
750ml,Frey Ranch Bourbon,bourbon
750ml,Garrison Brothers Bourbon,bourbon
750ml,Garrison Brothers Single Barrel,bourbon
750ml,Hibiki Japanese Harmony,whisky
750ml,Hakushu 12Y,whisky
750ml,Jack Daniels Old No. 7 Whiskey,whiskey
1 Liter,Jack Daniels Old No. 7 Whiskey,whiskey
750ml,Jameson Irish,whisky
1 Liter,Jameson Irish,whisky
750ml,Jefferson's Bourbon,bourbon
1 Liter,Knob Creek Rye,rye
750ml,Maker's Mark Bourbon,bourbon
1 Liter,Maker's Mark Bourbon,bourbon
750ml,Milam & Greene Single Barrel,bourbon
750ml,Mitcher's Rye,rye
750ml,Nikka Coffey Grain,whisky
700mL,Old Fitzgerald 7yr,bourbon
750ml,Old Forrester King Ranch,bourbon
1 Liter,Old Forrester Rye,rye
1 Liter,Old Forester Classic 86 Proof,bourbon
750ml,Orphan Barrel Fanged Pursuit,bourbon
